ts,equity,cash,at_risk,realized_cum,wins,losses,n_open
2026-08-09T18:47:15.381278+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T19:36:54.099800+00:00,214.32,185.38,28.94,-35.68,55,52,3
2026-08-09T20:36:54.469637+00:00,214.32,185.38,28.94,-35.68,55,52,3
2026-08-09T21:36:17.069878+00:00,217.71,201.82,15.89,-32.29,56,52,2
2026-08-09T22:34:45.413154+00:00,217.71,201.82,15.89,-32.29,56,52,2
2026-08-09T23:34:48.402886+00:00,217.71,201.82,15.89,-32.29,56,52,2
2026-08-10T02:04:54.157367+00:00,222.02,216.91,5.11,-27.98,57,52,1
2026-08-10T04:13:39.076302+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T05:56:14.167189+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T07:53:41.781756+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T09:26:50.911751+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T10:45:10.409944+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T11:50:44.325602+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T13:17:05.961803+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T14:37:37.826563+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T16:02:35.651236+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T17:26:53.411553+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T18:25:58.969775+00:00,225.9,225.9,0.0,-24.1,58,52,0
2026-08-10T19:33:27.208756+00:00,225.9,221.19,4.71,-24.1,58,52,1
2026-08-10T20:47:18.611493+00:00,225.9,221.19,4.71,-24.1,58,52,1
2026-08-10T21:45:31.946502+00:00,225.9,221.19,4.71,-24.1,58,52,1
2026-08-10T22:41:20.490535+00:00,225.9,221.19,4.71,-24.1,58,52,1
2026-08-10T23:38:25.069682+00:00,225.9,221.19,4.71,-24.1,58,52,1
2026-08-11T02:00:01.288680+00:00,225.9,214.06,11.84,-24.1,58,52,3
2026-08-11T03:52:27.436697+00:00,225.9,214.06,11.84,-24.1,58,52,3
2026-08-11T05:13:26.102832+00:00,225.9,214.06,11.84,-24.1,58,52,3
2026-08-11T06:29:12.171375+00:00,225.9,206.02,19.88,-24.1,58,52,5
2026-08-11T07:49:17.748275+00:00,225.9,196.93,28.97,-24.1,58,52,8
2026-08-11T09:02:05.011507+00:00,225.9,196.93,28.97,-24.1,58,52,8
2026-08-11T10:26:03.093837+00:00,225.9,195.7,30.2,-24.1,58,52,9
2026-08-11T11:22:46.126070+00:00,225.9,195.7,30.2,-24.1,58,52,9
2026-08-11T12:10:43.152382+00:00,225.9,195.7,30.2,-24.1,58,52,9
2026-08-11T13:56:07.164000+00:00,225.9,190.42,35.48,-24.1,58,52,10
2026-08-11T15:04:20.201176+00:00,225.9,190.42,35.48,-24.1,58,52,10
2026-08-11T16:25:19.207650+00:00,225.9,186.68,39.22,-24.1,58,52,12
2026-08-11T17:29:09.771906+00:00,220.54,180.26,40.28,-29.46,58,53,13
2026-08-11T18:28:51.872462+00:00,229.27,199.22,30.05,-20.73,61,54,9
2026-08-11T19:39:58.984202+00:00,229.27,191.28,37.99,-20.73,61,54,11
2026-08-11T20:50:43.876946+00:00,229.27,191.28,37.99,-20.73,61,54,11
2026-08-11T21:52:58.146132+00:00,225.99,191.28,34.71,-24.01,61,55,10
2026-08-11T22:48:13.688328+00:00,225.99,187.56,38.43,-24.01,61,55,11
2026-08-11T23:44:45.842187+00:00,213.1,180.94,32.16,-36.9,61,59,9
2026-08-12T02:12:38.538228+00:00,221.04,198.01,23.03,-28.96,63,59,7
2026-08-12T04:22:52.539113+00:00,239.08,221.25,17.83,-10.92,68,59,4
